File: mostly_sorted_numbers.csv
Sort: Selection Sort Distance from Sorted

4080000000 1922
4090000000 1904
4100000000 1880
4110000000 1856
4120000000 1834
4130000000 1804
4140000000 1782
4150000000 1764
4160000000 1746
4170000000 1736
4180000000 1714
4190000000 1680
4200000000 1660
4210000000 1640
4220000000 1616
4230000000 1600
4240000000 1582
4250000000 1562
4260000000 1530
4270000000 1510
4280000000 1496
4290000000 1480
4300000000 1464
4310000000 1446
4320000000 1424
4330000000 1416
4340000000 1396
4350000000 1376
4360000000 1352
4370000000 1328
4380000000 1300
4390000000 1262
4400000000 1250
4410000000 1232
4420000000 1220
4430000000 1198
4440000000 1158
4450000000 1132
4460000000 1104
4470000000 1074
4480000000 1060
4490000000 1036
4500000000 1020
4510000000 994
4520000000 976
4530000000 958
4540000000 948
4550000000 928
4560000000 910
4570000000 900
4580000000 884
4590000000 862
4600000000 836
4610000000 816
4620000000 790
4630000000 764
4640000000 734
4650000000 718
4660000000 696
4670000000 676
4680000000 644
4690000000 618
4700000000 596
4710000000 588
4720000000 564
4730000000 540
4740000000 516
4750000000 494
4760000000 472
4770000000 456
4780000000 442
4790000000 424
4800000000 414
4810000000 390
4820000000 380
4830000000 354
4840000000 328
4850000000 304
4860000000 282
4870000000 268
4880000000 244
4890000000 218
4900000000 196
4910000000 178
4920000000 156
4930000000 138
4940000000 120
4950000000 100
4960000000 82
4970000000 64
4980000000 38
4990000000 18
4999950000 0
