File: mostly_sorted_numbers.csv
Sort: Bubble Sort Distance from Sorted

4080000000 42887
4090000000 42653
4100000000 42418
4110000000 42182
4120000000 41944
4130000000 41705
4140000000 41465
4150000000 41223
4160000000 40980
4170000000 40735
4180000000 40489
4190000000 40241
4200000000 39992
4210000000 39741
4220000000 39489
4230000000 39235
4240000000 38979
4250000000 38722
4260000000 38462
4270000000 38202
4280000000 37939
4290000000 37675
4300000000 37408
4310000000 37140
4320000000 36870
4330000000 36597
4340000000 36323
4350000000 36047
4360000000 35769
4370000000 35488
4380000000 35205
4390000000 34920
4400000000 34633
4410000000 34343
4420000000 34050
4430000000 33755
4440000000 33458
4450000000 33158
4460000000 32855
4470000000 32549
4480000000 32240
4490000000 31929
4500000000 31614
4510000000 31296
4520000000 30975
4530000000 30651
4540000000 30323
4550000000 29991
4560000000 29656
4570000000 29317
4580000000 28974
4590000000 28627
4600000000 28276
4610000000 27920
4620000000 27559
4630000000 27194
4640000000 26824
4650000000 26449
4660000000 26068
4670000000 25682
4680000000 25289
4690000000 24891
4700000000 24486
4710000000 24074
4720000000 23655
4730000000 23229
4740000000 22794
4750000000 22351
4760000000 21850
4770000000 21388
4780000000 20917
4790000000 20434
4800000000 19940
4810000000 19434
4820000000 18914
4830000000 18379
4840000000 17829
4850000000 17261
4860000000 16673
4870000000 16064
4880000000 15432
4890000000 14744
4900000000 14054
4910000000 13328
4920000000 12560
4930000000 11743
4940000000 10865
4950000000 9910
4960000000 8854
4970000000 7655
4980000000 6218
4990000000 3096
4999950000 0
