File: shuffled_numbers.csv
Sort: Selection Sort Distance from Sorted

10000000 99899
20000000 99799
30000000 99699
40000000 99599
50000000 99498
60000000 99398
70000000 99297
80000000 99196
90000000 99095
100000000 98994
110000000 98893
120000000 98792
130000000 98691
140000000 98590
150000000 98488
160000000 98386
170000000 98285
180000000 98183
190000000 98081
200000000 97979
210000000 97877
220000000 97775
230000000 97672
240000000 97570
250000000 97467
260000000 97365
270000000 97262
280000000 97159
290000000 97056
300000000 96953
310000000 96850
320000000 96747
330000000 96643
340000000 96540
350000000 96436
360000000 96332
370000000 96228
380000000 96124
390000000 96020
400000000 95916
410000000 95812
420000000 95707
430000000 95603
440000000 95498
450000000 95393
460000000 95289
470000000 95184
480000000 95078
490000000 94973
500000000 94868
510000000 94762
520000000 94657
530000000 94551
540000000 94445
550000000 94339
560000000 94233
570000000 94127
580000000 94021
590000000 93914
600000000 93808
610000000 93701
620000000 93594
630000000 93487
640000000 93380
650000000 93273
660000000 93166
670000000 93059
680000000 92951
690000000 92843
700000000 92736
710000000 92628
720000000 92520
730000000 92412
740000000 92303
750000000 92195
760000000 92086
770000000 91978
780000000 91869
790000000 91760
800000000 91651
810000000 91542
820000000 91432
830000000 91323
840000000 91213
850000000 91104
860000000 90994
870000000 90884
880000000 90774
890000000 90664
900000000 90553
910000000 90443
920000000 90332
930000000 90221
940000000 90110
950000000 89999
960000000 89888
970000000 89777
980000000 89665
990000000 89554
1000000000 89442
1010000000 89330
1020000000 89218
1030000000 89106
1040000000 88994
1050000000 88881
1060000000 88769
1070000000 88656
1080000000 88543
1090000000 88430
1100000000 88317
1110000000 88204
1120000000 88090
1130000000 87977
1140000000 87863
1150000000 87749
1160000000 87635
1170000000 87521
1180000000 87407
1190000000 87292
1200000000 87177
1210000000 87063
1220000000 86948
1230000000 86833
1240000000 86717
1250000000 86602
1260000000 86486
1270000000 86371
1280000000 86255
1290000000 86139
1300000000 86023
1310000000 85906
1320000000 85790
1330000000 85673
1340000000 85556
1350000000 85439
1360000000 85322
1370000000 85205
1380000000 85088
1390000000 84970
1400000000 84852
1410000000 84734
1420000000 84616
1430000000 84498
1440000000 84379
1450000000 84261
1460000000 84142
1470000000 84023
1480000000 83904
1490000000 83785
1500000000 83665
1510000000 83546
1520000000 83426
1530000000 83306
1540000000 83186
1550000000 83066
1560000000 82945
1570000000 82825
1580000000 82704
1590000000 82583
1600000000 82462
1610000000 82340
1620000000 82219
1630000000 82097
1640000000 81975
1650000000 81853
1660000000 81731
1670000000 81608
1680000000 81487
1690000000 81364
1700000000 81241
1710000000 81118
1720000000 80994
1730000000 80871
1740000000 80747
1750000000 80623
1760000000 80499
1770000000 80375
1780000000 80250
1790000000 80125
1800000000 80000
1810000000 79875
1820000000 79750
1830000000 79624
1840000000 79499
1850000000 79373
1860000000 79247
1870000000 79121
1880000000 78994
1890000000 78867
1900000000 78740
1910000000 78613
1920000000 78486
1930000000 78359
1940000000 78231
1950000000 78103
1960000000 77975
1970000000 77846
1980000000 77718
1990000000 77589
2000000000 77460
2010000000 77331
2020000000 77201
2030000000 77072
2040000000 76942
2050000000 76812
2060000000 76682
2070000000 76551
2080000000 76420
2090000000 76289
2100000000 76158
2110000000 76027
2120000000 75895
2130000000 75763
2140000000 75631
2150000000 75499
2160000000 75366
2170000000 75233
2180000000 75100
2190000000 74967
2200000000 74833
2210000000 74700
2220000000 74566
2230000000 74432
2240000000 74297
2250000000 74162
2260000000 74027
2270000000 73892
2280000000 73757
2290000000 73621
2300000000 73485
2310000000 73349
2320000000 73212
2330000000 73076
2340000000 72939
2350000000 72801
2360000000 72664
2370000000 72526
2380000000 72388
2390000000 72250
2400000000 72111
2410000000 71973
2420000000 71833
2430000000 71694
2440000000 71554
2450000000 71415
2460000000 71274
2470000000 71134
2480000000 70993
2490000000 70852
2500000000 70711
2510000000 70569
2520000000 70428
2530000000 70285
2540000000 70143
2550000000 70000
2560000000 69857
2570000000 69714
2580000000 69570
2590000000 69426
2600000000 69282
2610000000 69138
2620000000 68993
2630000000 68848
2640000000 68703
2650000000 68557
2660000000 68411
2670000000 68264
2680000000 68118
2690000000 67971
2700000000 67824
2710000000 67676
2720000000 67528
2730000000 67380
2740000000 67231
2750000000 67082
2760000000 66933
2770000000 66783
2780000000 66634
2790000000 66483
2800000000 66333
2810000000 66182
2820000000 66031
2830000000 65879
2840000000 65727
2850000000 65575
2860000000 65422
2870000000 65269
2880000000 65116
2890000000 64962
2900000000 64808
2910000000 64653
2920000000 64498
2930000000 64343
2940000000 64187
2950000000 64031
2960000000 63875
2970000000 63718
2980000000 63561
2990000000 63404
3000000000 63246
3010000000 63087
3020000000 62929
3030000000 62770
3040000000 62610
3050000000 62450
3060000000 62290
3070000000 62129
3080000000 61968
3090000000 61806
3100000000 61644
3110000000 61482
3120000000 61319
3130000000 61156
3140000000 60992
3150000000 60828
3160000000 60663
3170000000 60498
3180000000 60333
3190000000 60167
3200000000 60000
3210000000 59833
3220000000 59666
3230000000 59498
3240000000 59330
3250000000 59161
3260000000 58992
3270000000 58822
3280000000 58652
3290000000 58481
3300000000 58310
3310000000 58138
3320000000 57966
3330000000 57793
3340000000 57620
3350000000 57446
3360000000 57271
3370000000 57097
3380000000 56921
3390000000 56745
3400000000 56569
3410000000 56392
3420000000 56214
3430000000 56036
