File: evenDescOddAsc.csv
Sort: Insertion Sort Distance from Sorted

10000000 99999
20000000 99999
30000000 99999
40000000 99999
50000000 99999
60000000 99999
70000000 99999
80000000 99999
90000000 99999
100000000 99999
110000000 99999
120000000 99999
130000000 99999
140000000 99999
150000000 99999
160000000 99999
170000000 99999
180000000 99999
190000000 99999
200000000 99999
210000000 99999
220000000 99999
230000000 99999
240000000 99999
250000000 99999
260000000 99999
270000000 99999
280000000 99999
290000000 99999
300000000 99999
310000000 99999
320000000 99999
330000000 99999
340000000 99999
350000000 99999
360000000 99999
370000000 99999
380000000 99999
390000000 99999
400000000 99999
410000000 99999
420000000 99999
430000000 99999
440000000 99999
450000000 99999
460000000 99999
470000000 99999
480000000 99999
490000000 99999
500000000 99999
510000000 99999
520000000 99999
530000000 99999
540000000 99999
550000000 99999
560000000 100000
570000000 100000
580000000 100000
590000000 100000
600000000 100000
610000000 100000
620000000 100000
630000000 100000
640000000 100000
650000000 100000
660000000 100000
670000000 100000
680000000 100000
690000000 100000
700000000 100000
710000000 100000
720000000 100000
730000000 100000
740000000 100000
750000000 100000
760000000 100000
770000000 100000
780000000 100000
790000000 100000
800000000 100000
810000000 100000
820000000 100000
830000000 100000
840000000 100000
850000000 100000
860000000 100000
870000000 100000
880000000 100000
890000000 100000
900000000 100000
910000000 100000
920000000 100000
930000000 100000
940000000 100000
950000000 100000
960000000 100000
970000000 100000
980000000 100000
990000000 100000
1000000000 100000
1010000000 100000
1020000000 100000
1030000000 100000
1040000000 100000
1050000000 100000
1060000000 100000
1070000000 100000
1080000000 100000
1090000000 100000
1100000000 100000
1110000000 100000
1120000000 100000
1130000000 100000
1140000000 100000
1150000000 100000
1160000000 100000
1170000000 100000
1180000000 100000
1190000000 100000
1200000000 100000
1210000000 100000
1220000000 100000
1230000000 100000
1240000000 100000
1250000000 100000
1260000000 99600
1270000000 99196
1280000000 98792
1290000000 98386
1300000000 97980
1310000000 97570
1320000000 97160
1330000000 96748
1340000000 96332
1350000000 95916
1360000000 95498
1370000000 95078
1380000000 94658
1390000000 94234
1400000000 93808
1410000000 93380
1420000000 92952
1430000000 92520
1440000000 92086
1450000000 91652
1460000000 91214
1470000000 90774
1480000000 90332
1490000000 89888
1500000000 89442
1510000000 88994
1520000000 88544
1530000000 88090
1540000000 87636
1550000000 87178
1560000000 86718
1570000000 86256
1580000000 85790
1590000000 85322
1600000000 84852
1610000000 84380
1620000000 83904
1630000000 83426
1640000000 82946
1650000000 82462
1660000000 81976
1670000000 81486
1680000000 80994
1690000000 80498
1700000000 80000
1710000000 79498
1720000000 78994
1730000000 78486
1740000000 77974
1750000000 77460
1760000000 76942
1770000000 76420
1780000000 75894
1790000000 75366
1800000000 74834
1810000000 74296
1820000000 73756
1830000000 73212
1840000000 72664
1850000000 72112
1860000000 71554
1870000000 70992
1880000000 70428
1890000000 69856
1900000000 69282
1910000000 68702
1920000000 68118
1930000000 67528
1940000000 66932
1950000000 66332
1960000000 65726
1970000000 65116
1980000000 64498
1990000000 63874
2000000000 63246
2010000000 62610
2020000000 61968
2030000000 61318
2040000000 60664
2050000000 60000
2060000000 59330
2070000000 58652
2080000000 57966
2090000000 57272
2100000000 56568
2110000000 55856
2120000000 55136
2130000000 54406
2140000000 53666
2150000000 52916
2160000000 52154
2170000000 51380
2180000000 50596
2190000000 49800
2200000000 48990
2210000000 48166
2220000000 47328
2230000000 46476
2240000000 45608
2250000000 44722
2260000000 43818
2270000000 42896
2280000000 41952
2290000000 40988
2300000000 40000
2310000000 38988
2320000000 37948
2330000000 36878
2340000000 35778
2350000000 34642
2360000000 33466
2370000000 32250
2380000000 30984
2390000000 29664
2400000000 28284
2410000000 26832
2420000000 25298
2430000000 23664
2440000000 21908
2450000000 20000
2460000000 17888
2470000000 15492
2480000000 12650
2490000000 8944
2500000000 1
2500000000 0
