File: shuffled_numbers.csv
Sort: Insertion Sort Distance from Sorted

10000000 99999
20000000 99999
30000000 99999
40000000 99999
50000000 99999
60000000 99999
70000000 99999
80000000 99999
90000000 100000
100000000 100000
110000000 100000
120000000 100000
130000000 100000
140000000 100000
150000000 100000
160000000 100000
170000000 100000
180000000 100000
190000000 100000
200000000 100000
210000000 100000
220000000 100000
230000000 100000
240000000 100000
250000000 100000
260000000 100000
270000000 100000
280000000 100000
290000000 99999
300000000 99999
310000000 99999
320000000 99999
330000000 99999
340000000 99999
350000000 99999
360000000 99999
370000000 99999
380000000 99999
390000000 99999
400000000 99999
410000000 99999
420000000 99999
430000000 99999
440000000 99999
450000000 99999
460000000 99999
470000000 99999
480000000 99999
490000000 99999
500000000 99999
510000000 99999
520000000 99999
530000000 99999
540000000 99999
550000000 99999
560000000 99999
570000000 99999
580000000 99999
590000000 99999
600000000 99999
610000000 99999
620000000 99999
630000000 99999
640000000 99999
650000000 99999
660000000 99999
670000000 99999
680000000 99999
690000000 99999
700000000 99999
710000000 99999
720000000 99999
730000000 99999
740000000 99999
750000000 99999
760000000 99999
770000000 99999
780000000 99999
790000000 99999
800000000 99999
810000000 99999
820000000 99999
830000000 99999
840000000 99999
850000000 99999
860000000 99999
870000000 99999
880000000 99999
890000000 99999
900000000 99999
910000000 99999
920000000 99999
930000000 99999
940000000 99999
950000000 99999
960000000 99999
970000000 99999
980000000 99999
990000000 99999
1000000000 99999
1010000000 99999
1020000000 99999
1030000000 99999
1040000000 99999
1050000000 99999
1060000000 99999
1070000000 99999
1080000000 99999
1090000000 99999
1100000000 99999
1110000000 99999
1120000000 99999
1130000000 99999
1140000000 99999
1150000000 99999
1160000000 99999
1170000000 99999
1180000000 99999
1190000000 99999
1200000000 99999
1210000000 99999
1220000000 99999
1230000000 99999
1240000000 99999
1250000000 99999
1260000000 99999
1270000000 99999
1280000000 99999
1290000000 99999
1300000000 99999
1310000000 99999
1320000000 99999
1330000000 99999
1340000000 99999
1350000000 99999
1360000000 99999
1370000000 99999
1380000000 99999
1390000000 99999
1400000000 99999
1410000000 99999
1420000000 99999
1430000000 99999
1440000000 99999
1450000000 99999
1460000000 99999
1470000000 99999
1480000000 99999
1490000000 99999
1500000000 99999
1510000000 99999
1520000000 99999
1530000000 99999
1540000000 99999
1550000000 99999
1560000000 99999
1570000000 99999
1580000000 99999
1590000000 99999
1600000000 99999
1610000000 99999
1620000000 99999
1630000000 99999
1640000000 99999
1650000000 99999
1660000000 99999
1670000000 99999
1680000000 99999
1690000000 99999
1700000000 99999
1710000000 99999
1720000000 99999
1730000000 99993
1740000000 99993
1750000000 99993
1760000000 99993
1770000000 99993
1780000000 99993
1790000000 99993
1800000000 99993
1810000000 99993
1820000000 99993
1830000000 99993
1840000000 99993
1850000000 99993
1860000000 99993
1870000000 99993
1880000000 99993
1890000000 99993
1900000000 99993
1910000000 99980
1920000000 99980
1930000000 99980
1940000000 99980
1950000000 99980
1960000000 99980
1970000000 99980
1980000000 99980
1990000000 99980
2000000000 99980
2010000000 99980
2020000000 99980
2030000000 99980
2040000000 99980
2050000000 99980
2060000000 99980
2070000000 99980
2080000000 99980
2090000000 99980
2100000000 99980
2110000000 99980
2120000000 99980
2130000000 99980
2140000000 99980
2150000000 99980
2160000000 99980
2170000000 99980
2180000000 99980
2190000000 99980
2200000000 99980
2210000000 99980
2220000000 99980
2230000000 99980
2240000000 99980
2250000000 99961
2260000000 99961
2270000000 99961
2280000000 99961
2290000000 99961
2300000000 99961
2310000000 99961
2320000000 99961
2330000000 99961
2340000000 99961
2350000000 99961
2360000000 99961
2370000000 99961
2380000000 99961
2390000000 99961
2400000000 99961
2410000000 99961
2420000000 99961
2430000000 99961
2440000000 99961
2450000000 99961
2460000000 99944
2470000000 99944
2480000000 99791
2490000000 99791
2500000000 99791
2502608688 0
